Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta Central,PM2.5 - Principal,2023-08-05 11:00 AM,2023,08,05,11,61.4,154,Unhealthy,64.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 12:00 PM,2023,08,05,12,54.2,147,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 01:00 PM,2023,08,05,13,46.1,127,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 02:00 PM,2023,08,05,14,46.5,128,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 03:00 PM,2023,08,05,15,37.2,105,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 04:00 PM,2023,08,05,16,28.1,85,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 05:00 PM,2023,08,05,17,21.0,70,Moderate,14.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 06:00 PM,2023,08,05,18,25.0,78,Moderate,29.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 07:00 PM,2023,08,05,19,24.0,76,Moderate,23.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 08:00 PM,2023,08,05,20,23.5,75,Moderate,23.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 09:00 PM,2023,08,05,21,25.7,80,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 10:00 PM,2023,08,05,22,34.8,99,Moderate,44.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 11:00 PM,2023,08,05,23,40.9,114,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 12:00 AM,2023,08,06,00,39.4,111,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 01:00 AM,2023,08,06,01,37.7,106,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 02:00 AM,2023,08,06,02,46.8,129,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 03:00 AM,2023,08,06,03,56.9,152,Unhealthy,67.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 04:00 AM,2023,08,06,04,54.4,148,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 05:00 AM,2023,08,06,05,51.7,141,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 06:00 AM,2023,08,06,06,47.8,131,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 07:00 AM,2023,08,06,07,48.4,133,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 08:00 AM,2023,08,06,08,57.2,152,Unhealthy,66.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 09:00 AM,2023,08,06,09,59.5,153,Unhealthy,63.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 10:00 AM,2023,08,06,10,59.7,153,Unhealthy,60.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 11:00 AM,2023,08,06,11,61.7,154,Unhealthy,64.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 12:00 PM,2023,08,06,12,61.8,154,Unhealthy,62.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 01:00 PM,2023,08,06,13,64.0,155,Unhealthy,69.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 02:00 PM,2023,08,06,14,69.5,158,Unhealthy,76.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 03:00 PM,2023,08,06,15,68.4,158,Unhealthy,67.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 04:00 PM,2023,08,06,16,68.2,158,Unhealthy,68.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 05:00 PM,2023,08,06,17,63.1,155,Unhealthy,56.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 06:00 PM,2023,08,06,18,62.4,155,Unhealthy,60.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 07:00 PM,2023,08,06,19,55.0,149,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 08:00 PM,2023,08,06,20,47.1,130,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 09:00 PM,2023,08,06,21,43.7,121,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 10:00 PM,2023,08,06,22,40.6,114,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-06 11:00 PM,2023,08,06,23,38.8,109,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 12:00 AM,2023,08,07,00,40.4,113,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 01:00 AM,2023,08,07,01,71.7,159,Unhealthy,103.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 02:00 AM,2023,08,07,02,88.8,168,Unhealthy,106.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 03:00 AM,2023,08,07,03,87.9,168,Unhealthy,87.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 04:00 AM,2023,08,07,04,86.9,167,Unhealthy,86.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 05:00 AM,2023,08,07,05,86.4,167,Unhealthy,86.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 06:00 AM,2023,08,07,06,90.2,169,Unhealthy,94.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 07:00 AM,2023,08,07,07,92.1,170,Unhealthy,94.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 08:00 AM,2023,08,07,08,96.0,172,Unhealthy,100.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 09:00 AM,2023,08,07,09,87.0,167,Unhealthy,78.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 10:00 AM,2023,08,07,10,87.5,168,Unhealthy,88.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 11:00 AM,2023,08,07,11,75.2,161,Unhealthy,63.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 12:00 PM,2023,08,07,12,72.6,160,Unhealthy,65.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 01:00 PM,2023,08,07,13,67.3,157,Unhealthy,61.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 02:00 PM,2023,08,07,14,61.4,154,Unhealthy,55.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 03:00 PM,2023,08,07,15,55.8,151,Unhealthy,51.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 04:00 PM,2023,08,07,16,41.8,117,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 05:00 PM,2023,08,07,17,36.8,104,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 06:00 PM,2023,08,07,18,33.4,96,Moderate,30.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 07:00 PM,2023,08,07,19,37.7,106,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 08:00 PM,2023,08,07,20,41.3,115,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 09:00 PM,2023,08,07,21,52.6,143,Unhealthy for Sensitive Groups,64.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 10:00 PM,2023,08,07,22,49.8,136,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-07 11:00 PM,2023,08,07,23,45.9,127,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-08 12:00 AM,2023,08,08,00,43.9,122,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-08 01:00 AM,2023,08,08,01,46.9,129,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-08 02:00 AM,2023,08,08,02,49.4,135,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
